hentai_thresh_pct,porn_thresh_pct,precision,recall,f1,accuracy,tpr,fpr,specificity,tp,fp,tn,fn
72,46,0.9668789808917198,0.917960088691796,0.9417847171957399,0.9648410666333604,0.917960088691796,0.014115092290988056,0.9858849077090119,4554,156,10896,407
72,47,0.9668789808917198,0.917960088691796,0.9417847171957399,0.9648410666333604,0.917960088691796,0.014115092290988056,0.9858849077090119,4554,156,10896,407
72,48,0.967453733248245,0.9167506551098569,0.9414199958600703,0.9646537188534315,0.9167506551098569,0.013843648208469055,0.9861563517915309,4548,153,10899,413
72,49,0.967453733248245,0.9167506551098569,0.9414199958600703,0.9646537188534315,0.9167506551098569,0.013843648208469055,0.9861563517915309,4548,153,10899,413
72,50,0.967453733248245,0.9167506551098569,0.9414199958600703,0.9646537188534315,0.9167506551098569,0.013843648208469055,0.9861563517915309,4548,153,10899,413
72,51,0.9678586632609621,0.9165490828462004,0.9415053318148877,0.9647161681134079,0.9165490828462004,0.013662685486789722,0.9863373145132103,4547,151,10901,414
72,52,0.9678586632609621,0.9165490828462004,0.9415053318148877,0.9647161681134079,0.9165490828462004,0.013662685486789722,0.9863373145132103,4547,151,10901,414
72,53,0.9690699658703071,0.9157427937915743,0.9416519846616229,0.9648410666333604,0.9157427937915743,0.01311979732175172,0.9868802026782483,4543,145,10907,418
72,54,0.9690699658703071,0.9157427937915743,0.9416519846616229,0.9648410666333604,0.9157427937915743,0.01311979732175172,0.9868802026782483,4543,145,10907,418
72,55,0.9704875962360993,0.9147349324732916,0.9417868631316799,0.9649659651533129,0.9147349324732916,0.01248642779587405,0.987513572204126,4538,138,10914,423
72,56,0.9704875962360993,0.9147349324732916,0.9417868631316799,0.9649659651533129,0.9147349324732916,0.01248642779587405,0.987513572204126,4538,138,10914,423
72,57,0.9704812834224599,0.9145333602096352,0.9416770444167704,0.9649035158933367,0.9145333602096352,0.01248642779587405,0.987513572204126,4537,138,10914,424
72,58,0.9712446351931331,0.9123160653094134,0.9408585386134498,0.9644663710735027,0.9123160653094134,0.012124502352515382,0.9878754976474846,4526,134,10918,435
72,59,0.9712446351931331,0.9123160653094134,0.9408585386134498,0.9644663710735027,0.9123160653094134,0.012124502352515382,0.9878754976474846,4526,134,10918,435
72,60,0.972168284789644,0.908284620036283,0.9391413088786993,0.9635296321738588,0.908284620036283,0.011672095548317047,0.988327904451683,4506,129,10923,455
72,61,0.9737356197091382,0.9042531747631526,0.9377090301003345,0.9627802410541435,0.9042531747631526,0.01094824466159971,0.9890517553384003,4486,121,10931,475
72,62,0.9753059440559441,0.8996170126990526,0.9359337317814825,0.9618435021544994,0.8996170126990526,0.010224393774882374,0.9897756062251176,4463,113,10939,498
72,63,0.9761279018834866,0.8984075791171134,0.9356565550540569,0.961718603634547,0.8984075791171134,0.009862468331523705,0.9901375316684763,4457,109,10943,504
