tn,fp,fn,tp,precision,recall,f1,accuracy,fpr,specificity,iter
10836,194,331,4652,0.9599669830788279,0.9335741521171985,0.9465866313968868,0.9672141385124586,0.017588395285584767,0.9824116047144152,28
10793,201,369,4650,0.95856524427953,0.9264793783622236,0.9422492401215805,0.9644039218135265,0.018282699654356922,0.9817173003456431,29
10801,222,297,4693,0.9548321464903357,0.9404809619238477,0.9476022211004543,0.9675888340723162,0.020139707883516284,0.9798602921164837,30
10935,189,321,4568,0.960269077149464,0.9343424013090612,0.9471283433547585,0.9681508774121027,0.01699029126213592,0.9830097087378641,31
10823,181,308,4701,0.9629250307251127,0.9385106807746058,0.9505611161662118,0.9694623118716044,0.016448564158487822,0.9835514358415122,32
10787,213,315,4698,0.9566279780085523,0.9371633752244165,0.9467956469165659,0.9670267907325298,0.019363636363636364,0.9806363636363636,33
10864,217,326,4606,0.9550072568940493,0.9339010543390105,0.9443362378267555,0.9660900518328858,0.01958307012002527,0.9804169298799748,34
10844,199,304,4666,0.9590955806783145,0.9388329979879275,0.9488561260803253,0.9685880222319365,0.01802046545322829,0.9819795345467717,35
10788,198,332,4695,0.9595340282035562,0.9339566341754526,0.9465725806451613,0.9669018922125773,0.018022938285090113,0.9819770617149098,36
10778,219,336,4680,0.9552969993876301,0.9330143540669856,0.9440242057488654,0.9653406607131706,0.019914522142402472,0.9800854778575975,37
10824,183,301,4705,0.9625613747954174,0.9398721534159009,0.9510814635132403,0.9697745581714857,0.016625783592259472,0.9833742164077405,38
10853,215,307,4638,0.9556975066968886,0.9379170879676441,0.9467238211879976,0.9674014862923874,0.01942537043729671,0.9805746295627032,39
10863,202,305,4643,0.9583075335397316,0.9383589329021828,0.9482283263555601,0.9683382251920315,0.01825576140985088,0.9817442385901491,40
10730,223,311,4749,0.9551488334674175,0.9385375494071146,0.9467703349282297,0.9666520951726723,0.020359718798502693,0.9796402812014973,41
10826,204,330,4653,0.9579987646695491,0.9337748344370861,0.9457317073170731,0.9666520951726723,0.018495013599274704,0.9815049864007253,42
10806,234,309,4664,0.9522253981216823,0.9378644681278906,0.9449903758484449,0.9660900518328858,0.021195652173913043,0.9788043478260869,43
10851,218,297,4647,0.9551901336073998,0.9399271844660194,0.9474971964522377,0.9678386311122213,0.019694642695817145,0.9803053573041829,44
10794,210,311,4698,0.9572127139364304,0.9379117588340986,0.9474639507915701,0.9674639355523637,0.019083969465648856,0.9809160305343512,45
10795,218,318,4682,0.9555102040816327,0.9364,0.9458585858585858,0.9665271966527197,0.019794787977844366,0.9802052120221556,46
10906,224,297,4586,0.9534303534303534,0.9391767356133525,0.9462498710409574,0.9674639355523637,0.02012578616352201,0.979874213836478,47
